arm,noise_level,psnr_mean,psnr_sd,psnr_ci_lo,psnr_ci_hi,ssim_mean,ssim_sd,ssim_ci_lo,ssim_ci_hi,ms_ssim_mean,lpips_mean,nll_mean,sharpness_mean,n
ffdnet,low,34.640,0.988,34.563,34.716,0.9190,0.0137,0.9180,0.9202,0.9724,0.1471,nan,nan,624
ffdnet,mid,32.625,0.977,32.547,32.703,0.8907,0.0188,0.8893,0.8921,0.9549,0.1873,nan,nan,624
ffdnet,high,30.735,0.969,30.658,30.815,0.8602,0.0239,0.8583,0.8620,0.9311,0.2329,nan,nan,624
ircnn,low,34.920,0.991,34.840,34.996,0.9213,0.0129,0.9203,0.9223,0.9728,0.1353,nan,nan,624
ircnn,mid,32.659,0.966,32.584,32.727,0.8901,0.0184,0.8885,0.8915,0.9535,0.1778,nan,nan,624
ircnn,high,30.638,0.971,30.556,30.712,0.8558,0.0239,0.8536,0.8575,0.9276,0.2232,nan,nan,624
drunet,low,34.177,1.089,34.090,34.260,0.8896,0.0518,0.8856,0.8933,0.9794,0.1119,nan,nan,624
drunet,mid,32.583,1.097,32.496,32.672,0.8655,0.0529,0.8614,0.8696,0.9683,0.1276,nan,nan,624
drunet,high,31.273,0.994,31.193,31.342,0.8405,0.0523,0.8367,0.8447,0.9541,0.1413,nan,nan,624
swinir,low,33.264,0.882,33.202,33.330,0.8953,0.0146,0.8941,0.8964,0.9648,0.2187,nan,nan,624
swinir,mid,31.183,0.885,31.110,31.250,0.8525,0.0199,0.8508,0.8540,0.9401,0.2771,nan,nan,624
swinir,high,29.007,0.894,28.938,29.080,0.7882,0.0376,0.7854,0.7912,0.9046,0.3287,nan,nan,624
arm_a_l2,low,36.585,1.083,36.507,36.671,0.9452,0.0106,0.9444,0.9461,0.9825,0.0990,nan,nan,624
arm_a_l2,mid,34.618,1.071,34.530,34.705,0.9269,0.0144,0.9257,0.9279,0.9730,0.1287,nan,nan,624
arm_a_l2,high,32.900,1.052,32.815,32.983,0.9078,0.0182,0.9064,0.9092,0.9614,0.1604,nan,nan,624
arm_b_nll,low,35.591,1.031,35.510,35.672,0.9340,0.0115,0.9331,0.9350,0.9783,0.1178,-2.8714,0.0159,624
arm_b_nll,mid,33.456,1.029,33.376,33.535,0.9092,0.0163,0.9080,0.9105,0.9646,0.1595,-2.6418,0.0200,624
arm_b_nll,high,31.570,1.032,31.486,31.648,0.8830,0.0211,0.8814,0.8848,0.9465,0.2035,-2.4364,0.0246,624
arm_c_nll_ssim,low,34.578,0.990,34.498,34.658,0.9189,0.0127,0.9179,0.9199,0.9719,0.1387,-2.7367,0.0177,624
arm_c_nll_ssim,mid,32.357,1.017,32.278,32.437,0.8866,0.0190,0.8852,0.8882,0.9523,0.1858,-2.4848,0.0228,624
arm_c_nll_ssim,high,30.380,1.027,30.298,30.465,0.8532,0.0248,0.8511,0.8552,0.9267,0.2360,-2.2602,0.0285,624
arm_d_nll_ssim_ffl,low,35.564,1.020,35.486,35.642,0.9337,0.0115,0.9328,0.9346,0.9782,0.1168,-2.8656,0.0159,624
arm_d_nll_ssim_ffl,mid,33.435,1.026,33.352,33.515,0.9089,0.0164,0.9076,0.9101,0.9644,0.1582,-2.6383,0.0200,624
arm_d_nll_ssim_ffl,high,31.527,1.013,31.448,31.603,0.8824,0.0209,0.8808,0.8841,0.9461,0.2026,-2.4311,0.0247,624
arm_e_ppvae,low,33.734,0.950,33.661,33.807,0.9065,0.0162,0.9053,0.9078,0.9686,0.1644,-2.6062,0.0197,624
arm_e_ppvae,mid,31.635,0.951,31.565,31.708,0.8726,0.0207,0.8710,0.8741,0.9472,0.2031,-2.3636,0.0247,624
arm_e_ppvae,high,29.703,0.983,29.630,29.785,0.8360,0.0266,0.8339,0.8380,0.9181,0.2604,-2.1394,0.0307,624
arm_f_kl_cyc,low,34.651,0.974,34.577,34.725,0.9241,0.0135,0.9231,0.9252,0.9759,0.1307,-2.7441,0.0172,624
arm_f_kl_cyc,mid,32.734,1.023,32.652,32.817,0.8982,0.0186,0.8968,0.8997,0.9615,0.1696,-2.5379,0.0214,624
arm_f_kl_cyc,high,30.956,1.025,30.869,31.043,0.8714,0.0234,0.8696,0.8732,0.9433,0.2146,-2.3405,0.0262,624
arm_g_kl_fb,low,34.679,1.009,34.601,34.759,0.9200,0.0128,0.9190,0.9210,0.9727,0.1370,-2.7523,0.0177,624
arm_g_kl_fb,mid,32.482,1.028,32.401,32.563,0.8890,0.0185,0.8876,0.8905,0.9545,0.1802,-2.5062,0.0226,624
arm_g_kl_fb,high,30.531,1.036,30.452,30.612,0.8568,0.0245,0.8549,0.8588,0.9307,0.2262,-2.2876,0.0282,624
arm_h_kl_cyc_fb,low,34.841,1.043,34.759,34.923,0.9234,0.0128,0.9223,0.9243,0.9753,0.1300,-2.7851,0.0173,624
arm_h_kl_cyc_fb,mid,32.762,1.064,32.677,32.843,0.8957,0.0183,0.8942,0.8971,0.9603,0.1692,-2.5555,0.0218,624
arm_h_kl_cyc_fb,high,30.916,1.060,30.836,30.997,0.8671,0.0235,0.8653,0.8689,0.9410,0.2123,-2.3464,0.0267,624
arm_i_l1,low,36.428,1.042,36.345,36.512,0.9440,0.0105,0.9431,0.9448,0.9822,0.1001,nan,nan,624
arm_i_l1,mid,34.444,1.052,34.363,34.524,0.9249,0.0145,0.9238,0.9261,0.9723,0.1296,nan,nan,624
arm_i_l1,high,32.711,1.039,32.629,32.791,0.9053,0.0184,0.9039,0.9067,0.9602,0.1598,nan,nan,624
arm_j_l1_ssim_ffl,low,36.280,1.050,36.206,36.363,0.9434,0.0103,0.9426,0.9442,0.9818,0.0972,nan,nan,624
arm_j_l1_ssim_ffl,mid,34.319,1.060,34.238,34.401,0.9246,0.0143,0.9235,0.9257,0.9722,0.1268,nan,nan,624
arm_j_l1_ssim_ffl,high,32.585,1.044,32.504,32.666,0.9049,0.0179,0.9035,0.9063,0.9603,0.1578,nan,nan,624
arm_k_nll_l1,low,35.407,1.008,35.327,35.489,0.9311,0.0116,0.9302,0.9320,0.9773,0.1200,-2.8476,0.0162,624
arm_k_nll_l1,mid,33.279,1.025,33.192,33.365,0.9052,0.0166,0.9039,0.9065,0.9628,0.1640,-2.6191,0.0205,624
arm_k_nll_l1,high,31.383,1.021,31.302,31.460,0.8780,0.0215,0.8763,0.8797,0.9438,0.2103,-2.4114,0.0253,624
arm_l_nll_edge_ffl,low,35.286,1.010,35.208,35.367,0.9301,0.0117,0.9291,0.9309,0.9766,0.1235,-2.8315,0.0165,624
arm_l_nll_edge_ffl,mid,33.140,1.016,33.056,33.217,0.9036,0.0167,0.9023,0.9048,0.9615,0.1660,-2.5971,0.0208,624
arm_l_nll_edge_ffl,high,31.232,1.015,31.153,31.316,0.8755,0.0219,0.8739,0.8772,0.9414,0.2130,-2.3863,0.0258,624
arm_m_full_det,low,33.774,0.960,33.699,33.851,0.9104,0.0143,0.9093,0.9115,0.9692,0.1486,-2.6366,0.0199,624
arm_m_full_det,mid,31.688,0.964,31.614,31.767,0.8755,0.0193,0.8740,0.8770,0.9480,0.1933,-2.3947,0.0251,624
arm_m_full_det,high,29.782,0.979,29.707,29.861,0.8376,0.0251,0.8358,0.8395,0.9196,0.2479,-2.1719,0.0313,624
arm_n_perc,low,34.678,0.996,34.590,34.760,0.9198,0.0128,0.9188,0.9208,0.9721,0.1324,-2.7439,0.0176,624
arm_n_perc,mid,32.423,1.021,32.342,32.499,0.8876,0.0187,0.8860,0.8890,0.9528,0.1739,-2.4912,0.0228,624
arm_n_perc,high,30.425,1.026,30.348,30.514,0.8537,0.0244,0.8519,0.8556,0.9273,0.2211,-2.2651,0.0285,624
arm_o_prelu,low,30.173,0.963,30.096,30.250,0.8362,0.0417,0.8329,0.8396,0.9568,0.2394,-2.1668,0.0294,624
arm_o_prelu,mid,29.074,0.909,29.002,29.147,0.8037,0.0401,0.8006,0.8067,0.9343,0.2817,-2.0254,0.0309,624
arm_o_prelu,high,27.723,0.797,27.661,27.783,0.7567,0.0377,0.7537,0.7597,0.8977,0.3327,-1.8371,0.0333,624
arm_p_best,low,33.825,0.957,33.752,33.901,0.9084,0.0141,0.9073,0.9095,0.9688,0.1560,-2.6318,0.0203,624
arm_p_best,mid,31.667,0.960,31.594,31.739,0.8739,0.0197,0.8725,0.8754,0.9470,0.2171,-2.3847,0.0258,624
arm_p_best,high,29.714,0.987,29.638,29.794,0.8369,0.0258,0.8347,0.8388,0.9177,0.2766,-2.1556,0.0322,624
